trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.005, 'e': 0.8146473164114145}",20,0,-31.265349120531546,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.005, 'e': 0.8105842459701871}",20,0,-50.32159102436906,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
44,False,"{'a': 0.005, 'e': 0.8065414401773269}",30,9,10.607161057912931,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.005, 'e': 0.8025187979624785}",20,0,-96.83110558481597,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.005, 'e': 0.7985162187593771}",25,0,-54.53892804627956,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.005, 'e': 0.794533602503334}",20,0,-143.60186178527465,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
48,False,"{'a': 0.005, 'e': 0.7905708496287356}",25,0,-157.06065752021107,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
49,False,"{'a': 0.005, 'e': 0.7866278610665535}",30,0,-97.49777744275441,"{0: 18, 1: 3, 2: 8, 3: 1, 4: 0}",0
50,False,"{'a': 0.005, 'e': 0.7827045382418681}",20,0,-40.829794006967155,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
51,False,"{'a': 0.005, 'e': 0.7788007830714049}",20,8,-67.31207193320805,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.005, 'e': 0.774916497961081}",25,0,-179.38024716563208,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
53,False,"{'a': 0.005, 'e': 0.7710515858035663}",20,0,10.428954149007666,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.005, 'e': 0.7672059499758557}",25,0,-137.305284378725,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
55,False,"{'a': 0.005, 'e': 0.7633794943368531}",20,3,-25.77544757371124,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.005, 'e': 0.7595721232249685}",35,18,-91.92094419743087,"{0: 8, 1: 3, 2: 5, 3: 0, 4: 1}",1
57,False,"{'a': 0.005, 'e': 0.7557837414557255}",25,13,-39.54114180949004,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
58,False,"{'a': 0.005, 'e': 0.7520142543193826}",25,0,-174.1701454492885,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
59,False,"{'a': 0.005, 'e': 0.7482635675785653}",20,9,-32.26816735380605,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.005, 'e': 0.7445315874659094}",30,0,-91.15321962648319,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
